,domain_code,page_title,count_views
0,aa,main_page,13
1,aa,wikipedia:community_portal,2
2,aa,special:whatlinkshere/main_page,1
3,aa.b,main_page,2
4,aa.b,special:createaccount,1
5,aa.b,special:userlogin,1
6,aa.b,user:evula,1
7,aa.d,main_page,1
8,aa.m,main_page,2
9,aa.m,special:mobilelanguages/main_page,1
10,ab,ихадоу_адаҟьа,18
11,ab,аиспан_бызшәа,10
12,ab,2016,5
13,ab,акатегориа:абызшәақәа,5
14,ab,ашаблон:аурыс-аԥсуа_жәар_(2016),5
15,ab,аиапон_бызшәа,2
16,ab,аладатәи_америка,2
17,ab,ашаблон:аурыс-аԥсуа_жәар_(2016)/doc,2
18,ab,1432,1
19,ab,1450,1
20,ab,1468,1
21,ab,1469,1
22,ab,1556,1
23,ab,1623,1
24,ab,1757,1
25,ab,1793,1
26,ab,1947,1
27,ab,1952,1
28,ab,2014,1
29,ab,2015,1
30,ab,2017,1
31,ab,2018,1
32,ab,2019,1
33,ab,407,1
34,ab,410,1
35,ab.m,афаил:vk.com-logo.svg,11
36,ab.m,аиспан_бызшәа,3
37,ab.m,ихадоу_адаҟьа,3
38,ab.m,2009,1
39,ab.m,2012,1
40,ab.m,2016,1
41,ab.m,агьежь,1
42,ab.m,акатегориа:абызшәақәа,1
43,ab.m,алахәыла_ахцәажәара:poti_berik,1
44,ab.m,афаил:flag_of_the_united_states_army.gif,1
45,ab.m,ашаблон:аурыс-аԥсуа_жәар_(2016),1
46,ab.m,аԥсуа_бызшәа,1
47,ab.m,иахьа_изхагылоу_аҳәынҭқарцәа_рсиа,1
48,ace,bahsa_seupanyo,127
49,ace,ôn_keue,36
50,ace,ôn_keuë,9
51,ace,kawan:bahsa,5
52,ace,seupanyo,5
53,ace,amirika_seulatan,2
54,ace,bahsa_inggréh,2
55,ace,bahsa_jeupun,2
56,ace,beunantu:asoë,2
57,ace,imarat_arab_meusaboh,2
58,ace,kawan:bumoë,2
59,ace,kuwait,2
60,ace,monarki_konstitusional,2
61,ace,turuki,2
62,ace,wikipedia:gamba_peuniléh,2
63,ace,'asyura,1
64,ace,a,1
65,ace,acèh,1
66,ace,acèh_rayek,1
67,ace,afghanistan,1
68,ace,albania,1
69,ace,aljazair,1
70,ace,allah,1
71,ace,amirika_syarikat,1
72,ace,ankara,1
73,ace.m,ôn_keue,4
74,ace.m,ôn_keuë,4
75,ace.m,"suka_damai,_panté_bidari,_acèh_timu",3
76,ace.m,beureukaih:dayah_babul_huda_lhokseumawe.jpg,2
77,ace.m,ië_beuna,2
78,ace.m,sipak_bhan,2
79,ace.m,acèh,1
80,ace.m,bahrain,1
81,ace.m,bahsa_seupanyo,1
82,ace.m,bahsa_viètnam,1
83,ace.m,banda_meksiko,1
84,ace.m,beunantu:hareutoë_narit,1
85,ace.m,"beureukaih:sultan_ahmed_mosque,_istambul.jpg",1
86,ace.m,geografi,1
87,ace.m,haleuba,1
88,ace.m,ian_mcshane,1
89,ace.m,iërupa,1
90,ace.m,jeupun,1
91,ace.m,kamèng,1
92,ace.m,kawan:bahsa,1
93,ace.m,lubnan,1
94,ace.m,manipur,1
95,ace.m,marit_ureuëng_ngui:si_gam_acèh,1
96,ace.m,nabi_musa,1
97,ace.m,seunaleuëk:gamba_peuniléh_3,1
98,advisory.m.m,main_page,1
99,ady,нэкӏубгъо_шъхьаӏ,11
100,ady,category:бзэхэр,3
101,ady,википедие,2
102,ady,къыблэ_америкэ,2
103,ady,тыгъэ,2
104,ady,template:potd,1
105,ady,template:potd/2020-01-2,1
106,ady,албаныбзэ,1
107,ady,америкэ_штат_зэхэтхэр,1
108,ady,арапхэр,1
109,ady,будапешт,1
110,ady,википедие:potd,1
111,ady,википедия:избранные_статьи,1
112,ady,габон,1
113,ady,германие,1
114,ady,ирландие,1
115,ady,литуание,1
116,ady,мозамбик,1
117,ady,мысыр,1
118,ady,нэгъоибзэ,1
119,ady,пекин,1
120,ady,португалие,1
121,ady,сенегал,1
122,ady,тыркуе,1
123,ady,урымые,1
124,ady.m,къурiан,1
125,ady.m,нэгумэ_шорэ,1
126,ady.m,нэкӏубгъо_шъхьаӏ,1
127,ady.m,таджикистан,1
128,af,tuisblad,61
129,af,suid-amerika,28
130,af,spesiaal:onlangse_wysigings,13
131,af,eccapas,8
132,af,wikipedia:ontkiemingskompetisie,8
133,af,spesiaal:soek,6
134,af,turboskroef,6
135,af,amerikaanse_mariene_korps,5
136,af,joão_figueiredo,5
137,af,webjoernaal,5
138,af,cannabinoïd,4
139,af,padtekens_in_suid-afrika,4
140,af,sjabloon:uitgevoer,4
141,af,wikipedia:gebruikersportaal,4
142,af,wikipedia:general_disclaimer,4
143,af,wikipedia:geselshoekie,4
144,af,central_intelligence_agency,3
145,af,databasis,3
146,af,demi_lee_moore,3
147,af,die_briels,3
148,af,lêer:parvalustra_exigua_distribution_map.svg,3
149,af,portaal:inhoudsopgawe/kategorieë,3
150,af,santiago_de_chile,3
151,af,wikipedia:hulp,3
152,af,wikipedia:omtrent,3
153,af.b,tuisblad,2
154,af.b,gebruiker:leitoxx,1
155,af.d,tuisblad,4
156,af.d,spesiaal:soek,2
157,af.d,cock,1
158,af.d,gebruiker:leitoxx,1
159,af.d,gebruiker:wikimedianotifier/notifications,1
160,af.d,grasse,1
161,af.d,korhaan,1
162,af.d,september,1
163,af.d,wiktionary:sjabloon,1
164,af.d,wiktionary:top_50000/russies,1
165,af.m,tuisblad,31
166,af.m,spesiaal:soek,29
167,af.m,-,25
168,af.m,nuwejaarsdag,16
169,af.m,elandré,14
170,af.m,suid-afrika,10
171,af.m,vir_die_voëls,10
172,af.m,fynskrif,9
173,af.m,lys_van_suid-afrikaanse_musikante,9
174,af.m,seksueel_oordraagbare_infeksie,9
175,af.m,skrikkeljaar,9
176,af.m,clive_bruce,8
177,af.m,lêer:مقابلة_ميدانية_مدرسة_خالد_بن_الوليد_الابتدائية.pdf,8
178,af.m,blyde_smit,7
179,af.m,cbc/radio-canada,7
180,af.m,sarkoom,6
181,af.m,koors,5
182,af.m,san_francisco,5
183,af.m,skrotum,5
184,af.m,slawerny_in_suid-afrika,5
185,af.m,sodiakmoordenaar,5
186,af.m,angina_pectoris,4
187,af.m,at_botha,4
188,af.m,gerrie_pretorius,4
189,af.m,intensiewe_vorm,4
190,af.m.b,boekrak:geskiedenis,1
191,af.m.d,hollandia,8
192,af.m.d,nuwejaarsdag,6
193,af.m.d,kategorie:woorde_in_afrikaans,5
194,af.m.d,wiktionary:woordelys/v,5
195,af.m.d,tuisblad,4
196,af.m.d,derm,3
197,af.m.d,ghaap,3
198,af.m.d,kategorie:afkortings_in_afrikaans,3
199,af.m.d,sinoniem,3
200,af.m.d,weer,3
201,af.m.d,akkerboom,2
202,af.m.d,groei,2
203,af.m.d,hulp:enkelvoud,2
204,af.m.d,hulp:meervoud,2
205,af.m.d,kategorie:vrugte_in_afrikaans,2
206,af.m.d,reisiger,2
207,af.m.d,spesiaal:soek,2
208,af.m.d,vertaal,2
209,af.m.d,wiktionary:afrikaanse_woorde/be,2
210,af.m.d,wiktionary:afrikaanse_woorde/so,2
211,af.m.d,wiktionary:geselshoekie,2
212,af.m.d,-,1
213,af.m.d,aal,1
214,af.m.d,alfabeties,1
215,af.m.d,baggerboot,1
216,af.m.q,tuisblad,1
217,af.q,tuisblad,7
218,af.q,gebruiker:leitoxx,1
219,ak,krataafa_titiriw,19
220,ak,boa:contents,5
221,ak,wikipedia:community_portal,5
222,ak,nkyekyem:nkrataa_ahodoɔ_a_etwa_sɛ_yɛhyehyɛ_wɔ_kasa_ahodoɔ_mu,3
223,ak,austria,2
224,ak,dilma_rousseff,2
225,ak,nkyekyem:language_user_templates,2
226,ak,sierra_leone,2
227,ak,abandze,1
228,ak,abawo,1
229,ak,abbaretz,1
230,ak,abidjan,1
231,ak,abor,1
232,ak,aboso,1
233,ak,ac/dc,1
234,ak,ada_kasseh,1
235,ak,addis-abeba,1
236,ak,adenta_east,1
237,ak,aduane,1
238,ak,affringues,1
239,ak,agufo,1
240,ak,aigrefeuille-sur-maine,1
241,ak,air_france,1
242,ak,akan_kasa,1
243,ak,akim_oda,1
244,ak.m,krataafa_titiriw,4
245,ak.m,file:flag_of_switzerland.svg,2
246,ak.m,volleyball,2
247,ak.m,switzerland,1
248,ak.m,united_states,1
249,als,wikipedia:houptsyte,62
250,als,vorlage:user_af,7
251,als,schau_ins_land_(fernsehserie),6
252,als,wikipedia:hilfe,6
253,als,houptsyte,5
254,als,romanische_sprachen,5
255,als,kategorie:user_af-n,4
256,als,kategorie:vorlag:babel-sproch,4
257,als,wikipedia:gemeinschafts-portal,4
258,als,wikipedia:kontakt,4
259,als,iso_3166,3
260,als,otto_braig,3
261,als,scheibenhard,3
262,als,sierra_leone,3
263,als,sonne,3
264,als,westsahara,3
265,als,wikipedia:iber_wikipedia,3
266,als,wikipedia:impressum,3
267,als,wort:houptsyte,3
268,als,1371,2
269,als,15._jahrhundert,2
270,als,alemannisch,2
271,als,anguilla,2
272,als,buech:houptsyte,2
273,als,colmarer_kreis,2
274,als.m,wikipedia:houptsyte,14
275,als.m,griechische_zahlen,5
276,als.m,neujahr,5
277,als.m,otto_braig,5
278,als.m,benutzer:christoph_franzen,4
279,als.m,wikipedia:impressum,3
280,als.m,wissenschaft,3
281,als.m,wort:schwäbische_vokabeln,3
282,als.m,-,2
283,als.m,2._januar,2
284,als.m,althochdeutsch,2
285,als.m,biberach_an_der_riß,2
286,als.m,bise,2
287,als.m,datei:giuseppe_verdi_by_giovanni_boldini.jpg,2
288,als.m,datei:lage_fluss_inn.png,2
289,als.m,"datei:treaty_of_versailles_signing,_hall_of_mirrors.jpg",2
290,als.m,durga,2
291,als.m,europa,2
292,als.m,europäische_union,2
293,als.m,geld,2
294,als.m,kamtschatka,2
295,als.m,katalanische_sprache,2
296,als.m,kategorie:ziit_vom_nationalsozialismus,2
297,als.m,liste_der_chemischen_elemente_nach_dem_namen,2
298,als.m,panamakanal,2
299,am,እስፓንኛ,62
300,am,ዋናው_ገጽ,47
301,am,ዘጠኙ_ቅዱሳን,7
302,am,ሃይማኖት,5
303,am,ልዩ:search,5
304,am,የአድዋ_ጦርነት,5
305,am,ጓቴማላ,5
306,am,መደብ:ሮማንስ_ቋንቋዎች,4
307,am,ሮማንስ_ቋንቋዎች,4
308,am,ሮማይስጥ,4
309,am,ስዕል:የሐበሻ_ተረት.pdf,4
310,am,ሀዲስ_ዓለማየሁ,3
311,am,ስዕል:ታሪክዘኦሮሞ.pdf,3
312,am,አንጒላ,3
313,am,ውይይት:እስፓንኛ,3
314,am,ዐቢይ_አህመድ,3
315,am,ዳታቤዝ,3
316,am,ሀጢአት_ሲደጋገም_ጽድቅ_ይመስላል,2
317,am,ማዕከላዊ_ዋጋ_እርግጥ,2
318,am,ቀይ_ባሕር,2
