domain_code,page_title,count_views
aa,main_page,21
aa,wikipedia:community_portal,5
aa,special:book,2
aa,special:citethispage,2
aa,special:electronpdf,2
aa,special:specialpages,2
aa,special:userlogin,2
aa,special:whatlinkshere/main_page,2
aa,talk:main_page,2
aa,wikipedia:sandbox,2
aa,wikipedia,1
aa.b,special:createaccount,1
aa.b,special:userlogin,1
aa.b,user:az1568,1
aa.b,user:evula,1
aa.d,main_page,1
aa.m,main_page,18
aa.m,special:mobilelanguages/main_page,1
ab,ихадоу_адаҟьа,16
ab,цастәи:аҧшаара,11
ab,амра,7
ab,авикипедиа:афорум,4
ab,авикипедиа:описание,4
ab,афаил:vk.com-logo.svg,3
ab,австралиа,2
ab,афаил:narbonne_cathedrale_saint_just_et_saint_pasteur.jpg,2
ab,1319,1
ab,1457,1
ab,1460,1
ab,1461,1
ab,1800,1
ab,1808,1
ab,1928,1
ab,1960,1
ab,1962,1
ab,1963,1
ab,1965,1
ab,1967,1
ab,1972,1
ab,1977,1
ab,1998,1
ab,2005,1
ab,2009,1
ab.m,афаил:vk.com-logo.svg,16
ab.m,авикипедиа,2
ab.m,ихадоу_адаҟьа,2
ab.m,-,1
ab.m,австралиа,1
ab.m,аиапон_бызшәа,1
ab.m,алахәыла_ахцәажәара:mf-warburg,1
ab.m,англыз_бызшәа,1
ab.m,афаил:olympic_games_1908_london.jpg,1
ab.m,ашаблон:иахьатәи_ахҭысқәа:03-5,1
ab.m,лондан_1908,1
ace,ôn_keue,32
ace,beunantu:asoë,6
ace,wikipedia:meusapat,6
ace,ôn_keuë,4
ace,asia,2
ace,australia,2
ace,namibia,2
ace,tasék,2
ace,wikipedia:sandbox,2
ace,afrika,1
ace,afrika_seulatan,1
ace,al-qahirah,1
ace,almanak_islam,1
ace,amirika_utara,1
ace,anatomi_manusia,1
ace,antigua_ngon_barbuda,1
ace,bahama,1
ace,bahsa,1
ace,bahsa_cina,1
ace,bahsa_jeupun,1
ace,basa_arab,1
ace,basa_inggréh,1
ace,belize,1
ace,beureukaih:aşure_kaseleri.jpg,1
ace,beureukaih:dayah_babul_huda_lhokseumawe.jpg,1
ace.m,ôn_keuë,6
ace.m,berlin,2
ace.m,nabi_nuh,1
ace.m,ôn_keue,1
ace.m,wikipèdia_bahsa_acèh,1
ace.m,warsawa,1
ace.m,ureuëng_ngui:hégésippe_cormier,1
ace.m,sofia,1
ace.m,qanun_meukuta_alam,1
ace.m,abu_bakar_ash-shiddiq,1
ace.m,ahlussunah_wal-jama'ah,1
ace.m,kawan:user_vls,1
ace.m,kawan:australia,1
ace.m,biek,1
ace.m,beijing,1
ace.m,asia,1
ace.m,amirika_syarikat,1
ace.m,kolombia,1
ady,нэкӏубгъо_шъхьаӏ,9
ady,википедие:лъэпкъэгъу_ӏухьапӏ,5
ady,википедие:форум,4
ady,википедия:избранные_статьи,3
ady,америкэ_штат_зэхэтхэр,2
ady,аустралие,2
ady,википедие:песочница,2
ady,намибие,2
ady,тыгъэ,2
ady,арапыбзэ,1
ady,африкэ,1
ady,белиз,1
ady,британиешхо_пачъыхьыгъо,1
ady,википедие,1
